movie_name,name,review,rating,date
zack_snyders_justice_league,Matt Lynch,"Ultimately, that this even exists is almost reason enough to give it a whirl.",na,"June 6, 2021"
zack_snyders_justice_league,Andrew Dex,"The current DC Extended Universe can be a bit messy at times, but this is proof that when it's backed by the right minds, then it can be a hell of a show.",3/5,"May 20, 2021"
zack_snyders_justice_league,Sarah Marrs,"While Zack Snyder's Justice League is unquestionably better than what came before, it is still, ultimately, the same movie we've already seen.",na,"May 12, 2021"
zack_snyders_justice_league,Leigh Paatsch,"A rip-roaring superhero action picture in its own right, and more than justifies all the considerable resources and effort poured into it.",3.5/5,"May 12, 2021"
zack_snyders_justice_league,Matt Hudson,"An upgrade to be sure and one that will delight Snyder fans, DC fans, and all comic book fans (surely!?)",7.5/10,"April 29, 2021"
zack_snyders_justice_league,Caffeinated Clint,"Regardless of whether you enjoy Snyder's darker, more morbid take on DC superheroes, there's no denying his 4-hour (!) cut of ""Justice League"" is a solid, all-engrossing picture",na,"April 21, 2021"
zack_snyders_justice_league,Luke Parker,This is a time of great pride swallowing.,3.5/5,"April 11, 2021"
zack_snyders_justice_league,Jeffrey M. Anderson,"Ultimately, there was nothing for me in this longer cut that I didn't already get out of the shorter cut.",2.5/4,"April 10, 2021"
zack_snyders_justice_league,Alejandro Turdo,"The Snyder Cut turns a terrible movie into a decent one, simply by granting a coherent storytelling and proper character development. But this 4 hour long contraption won't magically turn it into a great movie (although hardcore fans may disagree).",8/10,"April 8, 2021"
zack_snyders_justice_league,tt stern-enzi,It's overly long and there's not enough connective tissue.,C-,"April 6, 2021"
zack_snyders_justice_league,Stefan Pape,"The pacing, though slow-burning, feels like it's telling more of a complete story, and this results in a more watchable, engaging, and polished production.",3/5,"April 5, 2021"
zack_snyders_justice_league,Ruth Maramis,"Can't say this one is much of an improvement other than Cyborg's character development. Overall I just don't see much artistic merit in Snyder's cut, but fan service rarely make for a good movie.",2.5/5,"April 5, 2021"
zack_snyders_justice_league,Eileen Jones,"There's not a moment of violent action in the long slog of the Snyder Cut that makes us feel a punch. He's like the Novocaine King of Cinema, numbing us to all feeling.",na,"April 3, 2021"
zack_snyders_justice_league,Tom Meek,"The original filmmaker's vision does deepen the heroes' personal and collective stories nicely, namely for the Flash and Cyborg. At four hours it's impressively light...",2.5/4,"April 2, 2021"
zack_snyders_justice_league,Julio Fernando Navas,Even more unbearable than the theatrical cut. [Full review in spanish].,1.5/,"April 2, 2021"
zack_snyders_justice_league,Justin Brown,This movie is kind of like revisionist history. This is better than the original cut but I don't want anyone else to do something like this.,1/5,"April 1, 2021"
zack_snyders_justice_league,Brandon Collins,It's way too long. Ray Fisher and Ezra Miller are the best parts of this but it doesn't make up for the stuff that drags...,2/5,"April 1, 2021"
zack_snyders_justice_league,Robert Roten,"Zack Snyder's new director's cut of his 2017 film is twice as long, but not twice as good, as the original.",B,"April 1, 2021"
zack_snyders_justice_league,Dan Buffa,"This new cut is a good one but still way too long-which is why I had to compare it to the ultimate nachos platter. You didn't need all of it, but the end result satisfies.",B,"March 31, 2021"
zack_snyders_justice_league,Kyle Smith,"At first, I felt relief: Wow, this is a lot better than Whedon's version! But malaria is better than Whedon's version. The new cut is merely a run-of-the-mill 21st-century comic-book flick, only more ponderous and broody than average.",na,"March 31, 2021"
zack_snyders_justice_league,Mark Kermode,"I think it's boring, coherently boring...",na,"March 30, 2021"
zack_snyders_justice_league,Shawn Edwards,Pointless best describes everything about this movie.,2/5,"March 30, 2021"
zack_snyders_justice_league,Carla Renata,"Do superheroes need love while saving the world? Are they vulnerable deep down? Well, Zack Snyder's Justice League brings it all to the surface along with epic action sequences for the ages",na,"March 30, 2021"
zack_snyders_justice_league,Robert Slack,"Let's get this out of the way first - the new cut of Justice League is better than the theatre release of Justice League. Unfortunately, that doesn't make it a good movie.",na,"March 29, 2021"
zack_snyders_justice_league,George Clark,"No matter the fanbase that surrounds the film, this film is for Zack Snyder and he deserves all the praise he can get.",na,"March 29, 2021"
zack_snyders_justice_league,Linda Cook,Snyder brought it.,3.5/4,"March 29, 2021"
zack_snyders_justice_league,Russ Simmons,Snyder has hauled the DC Comics universe to the R-rated dark side kicking and screaming...and done it oh so slowly.,2/5,"March 28, 2021"
zack_snyders_justice_league,Bob Grimm,It's at least twice as good as the original cut...but it still isn't good.,2.25/5,"March 27, 2021"
zack_snyders_justice_league,Yasser Medina,"As a superhero product it has its moments, but it offers less than what Snyder's church followers sell on social media. [Full review in Spanish]",6/10,"March 26, 2021"
zack_snyders_justice_league,Tatat Bunnag,"With its improved stories, better realised protagonists and antagonists, I believe that it should resonate with fans better than ever.",na,"March 26, 2021"
